LAMMPS data file via write_data, version 18 Sep 2014-ICMS, timestep = 204

4000 atoms
1 atom types

-9.8621864747942013e+01 9.8621864747942013e+01 xlo xhi
-9.8621864747942013e+01 9.8621864747942013e+01 ylo yhi
1.0864016568518038e+00 2.1064260224804772e+02 zlo zhi

Masses

1 12.0107

Atoms # atomic

27 1 -4.5414357680685686e+00 -6.2507532818218836e+00 1.7849928757600149e+00 0 0 0
28 1 -3.5076908778615867e+00 -6.8842947822457745e+00 2.4833664834587941e+00 0 0 0
29 1 -2.3876283219301482e+00 -7.3482183379826918e+00 1.7849889368523044e+00 0 0 0
30 1 -1.2087074241537386e+00 -7.6312605124199768e+00 2.4833628954109717e+00 0 0 0
66 1 -4.5414357760943265e+00 -6.2507532928367233e+00 4.5789255002650053e+00 0 0 0
67 1 -3.5076908776786548e+00 -6.8842947818861511e+00 3.8805512001229174e+00 0 0 0
68 1 -2.3876283261827105e+00 -7.3482183509285735e+00 4.5789294391583359e+00 0 0 0
69 1 -1.2087074240901268e+00 -7.6312605120186605e+00 3.8805547881719695e+00 0 0 0
105 1 -4.5414357764105473e+00 -6.2507532932800665e+00 5.9761162374970347e+00 0 0 0
106 1 -3.5076908779317906e+00 -6.8842947823612342e+00 6.6744903384481979e+00 0 0 0
107 1 -2.3876283263443749e+00 -7.3482183514503223e+00 5.9761122985997810e+00 0 0 0
108 1 -1.2087074241735813e+00 -7.6312605125487485e+00 6.6744867503923606e+00 0 0 0
31 1 -1.2895160106795034e-14 -7.7264298330852075e+00 1.7849939100069601e+00 0 0 0
32 1 1.2087074241538940e+00 -7.6312605124199768e+00 2.4833628954109632e+00 0 0 0
33 1 2.3876283219303329e+00 -7.3482183379826918e+00 1.7849889368523049e+00 0 0 0
34 1 3.5076908778617857e+00 -6.8842947822457745e+00 2.4833664834587919e+00 0 0 0
35 1 4.5414357680689088e+00 -6.2507532818218836e+00 1.7849928757600169e+00 0 0 0
70 1 -1.2396376082270374e-14 -7.7264298467260799e+00 4.5789244660278730e+00 0 0 0
71 1 1.2087074240903375e+00 -7.6312605120186614e+00 3.8805547881719753e+00 0 0 0
72 1 2.3876283261828677e+00 -7.3482183509285735e+00 4.5789294391583359e+00 0 0 0
73 1 3.5076908776788378e+00 -6.8842947818861520e+00 3.8805512001229143e+00 0 0 0
